peripheral,register,field_name,alt_name,key,correct_value,svd_value,agent_value,status,page,set_method,derived_from
ftmre,fcnfg,,,size,8,8,,verified,,imported,
ftmre,fcnfg,ersareq,,bit_offset,5,5,5,verified,,imported,
ftmre,fcnfg,ersareq,,bit_width,1,1,1,verified,,imported,
ftmre,fcnfg,ersareq,,access,read-only,read-only,,verified,,imported,
ftmre,fcnfg,ccie,,bit_offset,7,7,7,verified,,imported,
ftmre,fcnfg,ccie,,bit_width,1,1,1,verified,,imported,
ftmre,fcnfg,ccie,,access,read-write,read-write,,verified,,imported,
ftmre,fccoblo,,,address_offset,0x8,0x8,,verified,,imported,
ftmre,fccoblo,,,reset_value,0,0,,verified,,imported,
ftmre,fccoblo,,,size,8,8,,verified,,imported,
ftmre,fccoblo,ccob,,bit_offset,0,0,0,verified,,imported,
ftmre,fccoblo,ccob,,bit_width,8,8,8,verified,,imported,
ftmre,fccoblo,ccob,,access,read-write,read-write,,verified,,imported,
ftmre,fccobhi,,,address_offset,0x9,0x9,,verified,,imported,
ftmre,fccobhi,,,reset_value,0,0,,verified,,imported,
ftmre,fccobhi,,,size,8,8,,verified,,imported,
ftmre,fccobhi,ccob,,bit_offset,0,0,0,verified,,imported,
ftmre,fccobhi,ccob,,bit_width,8,8,8,verified,,imported,
ftmre,fccobhi,ccob,,access,read-write,read-write,,verified,,imported,
ftmre,fprot,,,address_offset,0xB,0xB,,verified,,imported,
ftmre,fprot,,,reset_value,0,0,,verified,,imported,
ftmre,fprot,,,size,8,8,,verified,,imported,
ftmre,fprot,fpls,,bit_offset,0,0,0,verified,,imported,
ftmre,fprot,fpls,,bit_width,2,2,2,verified,,imported,
ftmre,fprot,fpls,,access,read-write,read-write,,verified,,imported,
ftmre,fprot,fpldis,,bit_offset,2,2,2,verified,,imported,
ftmre,fprot,fpldis,,bit_width,1,1,1,verified,,imported,
ftmre,fprot,fpldis,,access,read-write,read-write,,verified,,imported,
ftmre,fprot,rnv,,bit_offset,,3,,,,,
ftmre,fprot,rnv,,bit_width,,3,,,,,
ftmre,fprot,rnv,,access,,read-only,,,,,
ftmre,fprot,rnv6,,bit_offset,6,6,6,verified,,imported,
ftmre,fprot,rnv6,,bit_width,1,1,1,verified,,imported,
ftmre,fprot,rnv6,,access,read-only,read-only,,verified,,imported,
ftmre,fprot,fpopen,,bit_offset,7,7,7,verified,,imported,
ftmre,fprot,fpopen,,bit_width,1,1,1,verified,,imported,
ftmre,fprot,fpopen,,access,read-write,read-write,,verified,,imported,
ftmre,fopt,,,address_offset,0xF,0xF,,verified,,imported,
ftmre,fopt,,,reset_value,0,0,,verified,,imported,
ftmre,fopt,,,size,8,8,,verified,,imported,
ftmre,fopt,nv,,bit_offset,0,0,0,verified,,imported,
ftmre,fopt,nv,,bit_width,8,8,8,verified,,imported,
ftmre,fopt,nv,,access,read-only,read-only,,verified,,imported,
irq,sc,,,address_offset,,0,,,,,
irq,sc,,,reset_value,,0,,,,,
irq,sc,,,size,,8,,,,,
irq,sc,irqmod,,bit_offset,,0,0,,,,
irq,sc,irqmod,,bit_width,,1,1,,,,
irq,sc,irqmod,,access,,read-write,,,,,
irq,sc,irqie,,bit_offset,,1,1,,,,
irq,sc,irqie,,bit_width,,1,1,,,,
irq,sc,irqie,,access,,read-write,,,,,
irq,sc,irqack,,bit_offset,,2,2,,,,
irq,sc,irqack,,bit_width,,1,1,,,,
irq,sc,irqack,,access,,write-only,,,,,
irq,sc,irqf,,bit_offset,,3,3,,,,
irq,sc,irqf,,bit_width,,1,1,,,,
irq,sc,irqf,,access,,read-only,,,,,
irq,sc,irqpe,,bit_offset,,4,4,,,,
irq,sc,irqpe,,bit_width,,1,1,,,,
irq,sc,irqpe,,access,,read-write,,,,,
irq,sc,irqedg,,bit_offset,,5,5,,,,
irq,sc,irqedg,,bit_width,,1,1,,,,
irq,sc,irqedg,,access,,read-write,,,,,
irq,sc,irqpdd,,bit_offset,,6,6,,,,
irq,sc,irqpdd,,bit_width,,1,1,,,,
irq,sc,irqpdd,,access,,read-write,,,,,
crc,data,,,address_offset,0,0,,verified,,imported,
crc,data,,,reset_value,0xFFFFFFFF,0xFFFFFFFF,,verified,,imported,
crc,data,,,size,32,32,,verified,,imported,
crc,data,ll,,bit_offset,0,0,0,verified,,imported,
crc,data,ll,,bit_width,8,8,8,verified,,imported,
crc,data,ll,,access,read-write,read-write,,verified,,imported,
crc,data,lu,,bit_offset,8,8,8,verified,,imported,
crc,data,lu,,bit_width,8,8,8,verified,,imported,
crc,data,lu,,access,read-write,read-write,,verified,,imported,
crc,data,hl,,bit_offset,16,16,16,verified,,imported,
crc,data,hl,,bit_width,8,8,8,verified,,imported,
crc,data,hl,,access,read-write,read-write,,verified,,imported,
crc,data,hu,,bit_offset,24,24,24,verified,,imported,
crc,data,hu,,bit_width,8,8,8,verified,,imported,
crc,data,hu,,access,read-write,read-write,,verified,,imported,
crc,datal,,,address_offset,,0,,,,,
crc,datal,,,reset_value,,0xFFFF,,,,,
crc,datal,,,size,,16,,,,,
crc,datal,datal,,bit_offset,,0,,,,,
crc,datal,datal,,bit_width,,16,,,,,
crc,datal,datal,,access,,read-write,,,,,
crc,datall,,,address_offset,,0,,,,,
crc,datall,,,reset_value,,0xFF,,,,,
crc,datall,,,size,,8,,,,,
crc,datall,datall,,bit_offset,,0,,,,,
crc,datall,datall,,bit_width,,8,,,,,
crc,datall,datall,,access,,read-write,,,,,
crc,datalu,,,address_offset,,0x1,,,,,
crc,datalu,,,reset_value,,0xFF,,,,,
crc,datalu,,,size,,8,,,,,
crc,datalu,datalu,,bit_offset,,0,,,,,
crc,datalu,datalu,,bit_width,,8,,,,,
crc,datalu,datalu,,access,,read-write,,,,,
crc,datah,,,address_offset,,0x2,,,,,
crc,datah,,,reset_value,,0xFFFF,,,,,
crc,datah,,,size,,16,,,,,
crc,datah,datah,,bit_offset,,0,,,,,
crc,datah,datah,,bit_width,,16,,,,,
crc,datah,datah,,access,,read-write,,,,,
crc,datahl,,,address_offset,,0x2,,,,,
crc,datahl,,,reset_value,,0xFF,,,,,
crc,datahl,,,size,,8,,,,,
crc,datahl,datahl,,bit_offset,,0,,,,,
crc,datahl,datahl,,bit_width,,8,,,,,
crc,datahl,datahl,,access,,read-write,,,,,
crc,datahu,,,address_offset,,0x3,,,,,
crc,datahu,,,reset_value,,0xFF,,,,,
crc,datahu,,,size,,8,,,,,
crc,datahu,datahu,,bit_offset,,0,,,,,
crc,datahu,datahu,,bit_width,,8,,,,,
crc,datahu,datahu,,access,,read-write,,,,,
crc,gpoly,,,address_offset,0x4,0x4,,verified,,imported,
crc,gpoly,,,reset_value,0x1021,0x1021,,verified,,imported,
crc,gpoly,,,size,32,32,,verified,,imported,
crc,gpoly,low,,bit_offset,0,0,0,verified,,imported,
crc,gpoly,low,,bit_width,16,16,16,verified,,imported,
crc,gpoly,low,,access,read-write,read-write,,verified,,imported,
crc,gpoly,high,,bit_offset,16,16,16,verified,,imported,
crc,gpoly,high,,bit_width,16,16,16,verified,,imported,
crc,gpoly,high,,access,read-write,read-write,,verified,,imported,
crc,gpolyl,,,address_offset,,0x4,,,,,
crc,gpolyl,,,reset_value,,0xFFFF,,,,,
crc,gpolyl,,,size,,16,,,,,
crc,gpolyl,gpolyl,,bit_offset,,0,,,,,
crc,gpolyl,gpolyl,,bit_width,,16,,,,,
crc,gpolyl,gpolyl,,access,,read-write,,,,,
crc,gpolyll,,,address_offset,,0x4,,,,,
crc,gpolyll,,,reset_value,,0xFF,,,,,
crc,gpolyll,,,size,,8,,,,,
crc,gpolyll,gpolyll,,bit_offset,,0,,,,,
crc,gpolyll,gpolyll,,bit_width,,8,,,,,
crc,gpolyll,gpolyll,,access,,read-write,,,,,
crc,gpolylu,,,address_offset,,0x5,,,,,
crc,gpolylu,,,reset_value,,0xFF,,,,,
crc,gpolylu,,,size,,8,,,,,
crc,gpolylu,gpolylu,,bit_offset,,0,,,,,
crc,gpolylu,gpolylu,,bit_width,,8,,,,,
crc,gpolylu,gpolylu,,access,,read-write,,,,,
crc,gpolyh,,,address_offset,,0x6,,,,,
crc,gpolyh,,,reset_value,,0xFFFF,,,,,
crc,gpolyh,,,size,,16,,,,,
crc,gpolyh,gpolyh,,bit_offset,,0,,,,,
crc,gpolyh,gpolyh,,bit_width,,16,,,,,
crc,gpolyh,gpolyh,,access,,read-write,,,,,
crc,gpolyhl,,,address_offset,,0x6,,,,,
crc,gpolyhl,,,reset_value,,0xFF,,,,,
crc,gpolyhl,,,size,,8,,,,,
crc,gpolyhl,gpolyhl,,bit_offset,,0,,,,,
crc,gpolyhl,gpolyhl,,bit_width,,8,,,,,
crc,gpolyhl,gpolyhl,,access,,read-write,,,,,
crc,gpolyhu,,,address_offset,,0x7,,,,,
crc,gpolyhu,,,reset_value,,0xFF,,,,,
crc,gpolyhu,,,size,,8,,,,,
crc,gpolyhu,gpolyhu,,bit_offset,,0,,,,,
crc,gpolyhu,gpolyhu,,bit_width,,8,,,,,
crc,gpolyhu,gpolyhu,,access,,read-write,,,,,
crc,ctrl,,,address_offset,0x8,0x8,,verified,,imported,
crc,ctrl,,,reset_value,0,0,,verified,,imported,
crc,ctrl,,,size,32,32,,verified,,imported,
crc,ctrl,tcrc,,bit_offset,24,24,24,verified,,imported,
crc,ctrl,tcrc,,bit_width,1,1,1,verified,,imported,
crc,ctrl,tcrc,,access,read-write,read-write,,verified,,imported,
crc,ctrl,was,,bit_offset,25,25,25,verified,,imported,
crc,ctrl,was,,bit_width,1,1,1,verified,,imported,
crc,ctrl,was,,access,read-write,read-write,,verified,,imported,
crc,ctrl,fxor,,bit_offset,26,26,26,verified,,imported,
crc,ctrl,fxor,,bit_width,1,1,1,verified,,imported,
crc,ctrl,fxor,,access,read-write,read-write,,verified,,imported,
crc,ctrl,totr,,bit_offset,28,28,28,verified,,imported,
crc,ctrl,totr,,bit_width,2,2,2,verified,,imported,
crc,ctrl,totr,,access,read-write,read-write,,verified,,imported,
crc,ctrl,tot,,bit_offset,30,30,30,verified,,imported,
crc,ctrl,tot,,bit_width,2,2,2,verified,,imported,
crc,ctrl,tot,,access,read-write,read-write,,verified,,imported,
crc,ctrlhu,,,address_offset,,0xB,,,,,
crc,ctrlhu,,,reset_value,,0,,,,,
crc,ctrlhu,,,size,,8,,,,,
crc,ctrlhu,tcrc,,bit_offset,,0,,,,,
crc,ctrlhu,tcrc,,bit_width,,1,,,,,
crc,ctrlhu,tcrc,,access,,read-write,,,,,
crc,ctrlhu,was,,bit_offset,,1,,,,,
crc,ctrlhu,was,,bit_width,,1,,,,,
crc,ctrlhu,was,,access,,read-write,,,,,
crc,ctrlhu,fxor,,bit_offset,,2,,,,,
crc,ctrlhu,fxor,,bit_width,,1,,,,,
crc,ctrlhu,fxor,,access,,read-write,,,,,
crc,ctrlhu,totr,,bit_offset,,4,,,,,
crc,ctrlhu,totr,,bit_width,,2,,,,,
crc,ctrlhu,totr,,access,,read-write,,,,,
crc,ctrlhu,tot,,bit_offset,,6,,,,,
crc,ctrlhu,tot,,bit_width,,2,,,,,
crc,ctrlhu,tot,,access,,read-write,,,,,
pwt,r1,,,address_offset,,0,,,,,
pwt,r1,,,reset_value,,0,,,,,
pwt,r1,,,size,,32,,,,,
pwt,r1,pwtov,,bit_offset,,0,0,,,,
pwt,r1,pwtov,,bit_width,,1,1,,,,
pwt,r1,pwtov,,access,,read-write,,,,,
pwt,r1,pwtrdy,,bit_offset,,1,1,,,,
pwt,r1,pwtrdy,,bit_width,,1,1,,,,
pwt,r1,pwtrdy,,access,,read-write,,,,,
pwt,r1,pwtsr,,bit_offset,,3,3,,,,
pwt,r1,pwtsr,,bit_width,,1,1,,,,
pwt,r1,pwtsr,,access,,write-only,,,,,
pwt,r1,povie,,bit_offset,,4,4,,,,
pwt,r1,povie,,bit_width,,1,1,,,,
pwt,r1,povie,,access,,read-write,,,,,
pwt,r1,prdyie,,bit_offset,,5,5,,,,
pwt,r1,prdyie,,bit_width,,1,1,,,,
pwt,r1,prdyie,,access,,read-write,,,,,
pwt,r1,pwtie,,bit_offset,,6,6,,,,
pwt,r1,pwtie,,bit_width,,1,1,,,,
pwt,r1,pwtie,,access,,read-write,,,,,
pwt,r1,pwten,,bit_offset,,7,7,,,,
pwt,r1,pwten,,bit_width,,1,1,,,,
pwt,r1,pwten,,access,,read-write,,,,,
pwt,r1,pre,,bit_offset,,8,8,,,,
pwt,r1,pre,,bit_width,,3,3,,,,
pwt,r1,pre,,access,,read-write,,,,,
pwt,r1,edge,,bit_offset,,11,11,,,,
pwt,r1,edge,,bit_width,,2,2,,,,
pwt,r1,edge,,access,,read-write,,,,,
pwt,r1,pinsel,,bit_offset,,13,13,,,,
pwt,r1,pinsel,,bit_width,,2,2,,,,
pwt,r1,pinsel,,access,,read-write,,,,,
pwt,r1,pclks,,bit_offset,,15,15,,,,
pwt,r1,pclks,,bit_width,,1,1,,,,
pwt,r1,pclks,,access,,read-write,,,,,
pwt,r1,ppw,,bit_offset,,16,16,,,,
pwt,r1,ppw,,bit_width,,16,16,,,,
pwt,r1,ppw,,access,,read-only,,,,,
pwt,r2,,,address_offset,,0x4,,,,,
pwt,r2,,,reset_value,,0,,,,,
pwt,r2,,,size,,32,,,,,
pwt,r2,npw,,bit_offset,,0,0,,,,
pwt,r2,npw,,bit_width,,16,16,,,,
pwt,r2,npw,,access,,read-only,,,,,
pwt,r2,pwtc,,bit_offset,,16,16,,,,
pwt,r2,pwtc,,bit_width,,16,16,,,,
pwt,r2,pwtc,,access,,read-only,,,,,
pit,mcr,,,address_offset,,0,,,,,
pit,mcr,,,reset_value,,0x6,,,,,
pit,mcr,,,size,,32,,,,,
pit,mcr,frz,,bit_offset,,0,0,,,,
pit,mcr,frz,,bit_width,,1,1,,,,
pit,mcr,frz,,access,,read-write,,,,,
pit,mcr,mdis,,bit_offset,,1,1,,,,
pit,mcr,mdis,,bit_width,,1,1,,,,
pit,mcr,mdis,,access,,read-write,,,,,
pit,ldval%s,,,address_offset,,0x100,,,,,
pit,ldval%s,,,reset_value,,0,,,,,
pit,ldval%s,,,size,,32,,,,,
pit,ldval%s,tsv,,bit_offset,,0,,,,,
pit,ldval%s,tsv,,bit_width,,32,,,,,
pit,ldval%s,tsv,,access,,read-write,,,,,
pit,cval%s,,,address_offset,,0x104,,,,,
pit,cval%s,,,reset_value,,0,,,,,
pit,cval%s,,,size,,32,,,,,
pit,cval%s,tvl,,bit_offset,,0,,,,,
pit,cval%s,tvl,,bit_width,,32,,,,,
pit,cval%s,tvl,,access,,read-only,,,,,
pit,tctrl%s,,,address_offset,,0x108,,,,,
pit,tctrl%s,,,reset_value,,0,,,,,
pit,tctrl%s,,,size,,32,,,,,
pit,tctrl%s,ten,,bit_offset,,0,,,,,
pit,tctrl%s,ten,,bit_width,,1,,,,,
pit,tctrl%s,ten,,access,,read-write,,,,,
pit,tctrl%s,tie,,bit_offset,,1,,,,,
pit,tctrl%s,tie,,bit_width,,1,,,,,
pit,tctrl%s,tie,,access,,read-write,,,,,
pit,tctrl%s,chn,,bit_offset,,2,,,,,
pit,tctrl%s,chn,,bit_width,,1,,,,,
pit,tctrl%s,chn,,access,,read-write,,,,,
pit,tflg%s,,,address_offset,,0x10C,,,,,
pit,tflg%s,,,reset_value,,0,,,,,
pit,tflg%s,,,size,,32,,,,,
pit,tflg%s,tif,,bit_offset,,0,,,,,
pit,tflg%s,tif,,bit_width,,1,,,,,
pit,tflg%s,tif,,access,,read-write,,,,,
ftm0,sc,,,address_offset,0,0,,verified,,imported,
ftm0,sc,,,reset_value,0,0,,verified,,imported,
ftm0,sc,,,size,32,32,,verified,,imported,
ftm0,sc,ps,,bit_offset,0,0,0,verified,,imported,
ftm0,sc,ps,,bit_width,3,3,3,verified,,imported,
ftm0,sc,ps,,access,read-write,read-write,,verified,,imported,
ftm0,sc,clks,,bit_offset,3,3,3,verified,,imported,
ftm0,sc,clks,,bit_width,2,2,2,verified,,imported,
ftm0,sc,clks,,access,read-write,read-write,,verified,,imported,
ftm0,sc,cpwms,,bit_offset,5,5,5,verified,,imported,
ftm0,sc,cpwms,,bit_width,1,1,1,verified,,imported,
ftm0,sc,cpwms,,access,read-write,read-write,,verified,,imported,
ftm0,sc,toie,,bit_offset,6,6,6,verified,,imported,
ftm0,sc,toie,,bit_width,1,1,1,verified,,imported,
ftm0,sc,toie,,access,read-write,read-write,,verified,,imported,
ftm0,sc,tof,,bit_offset,7,7,7,verified,,imported,
ftm0,sc,tof,,bit_width,1,1,1,verified,,imported,
ftm0,sc,tof,,access,read-write,read-write,,verified,,imported,
ftm0,cnt,,,address_offset,0x4,0x4,,verified,,imported,
ftm0,cnt,,,reset_value,0,0,,verified,,imported,
ftm0,cnt,,,size,32,32,,verified,,imported,
ftm0,cnt,count,,bit_offset,0,0,,verified,,imported,
ftm0,cnt,count,,bit_width,16,16,,verified,,imported,
ftm0,cnt,count,,access,read-write,read-write,,verified,,imported,
ftm0,mod,,,address_offset,0x8,0x8,,verified,,imported,
ftm0,mod,,,reset_value,0,0,,verified,,imported,
ftm0,mod,,,size,32,32,,verified,,imported,
ftm0,mod,mod,,bit_offset,0,0,,verified,,imported,
ftm0,mod,mod,,bit_width,16,16,,verified,,imported,
ftm0,mod,mod,,access,read-write,read-write,,verified,,imported,
ftm0,c%ssc,,,address_offset,0xC,0xC,,verified,,imported,
ftm0,c%ssc,,,reset_value,0,0,,verified,,imported,
ftm0,c%ssc,,,size,32,32,,verified,,imported,
ftm0,c%ssc,elsa,,bit_offset,2,2,,verified,,imported,
ftm0,c%ssc,elsa,,bit_width,1,1,,verified,,imported,
ftm0,c%ssc,elsa,,access,read-write,read-write,,verified,,imported,
ftm0,c%ssc,elsb,,bit_offset,3,3,,verified,,imported,
ftm0,c%ssc,elsb,,bit_width,1,1,,verified,,imported,
ftm0,c%ssc,elsb,,access,read-write,read-write,,verified,,imported,
ftm0,c%ssc,msa,,bit_offset,4,4,,verified,,imported,
ftm0,c%ssc,msa,,bit_width,1,1,,verified,,imported,
ftm0,c%ssc,msa,,access,read-write,read-write,,verified,,imported,
ftm0,c%ssc,msb,,bit_offset,5,5,,verified,,imported,
ftm0,c%ssc,msb,,bit_width,1,1,,verified,,imported,
ftm0,c%ssc,msb,,access,read-write,read-write,,verified,,imported,
ftm0,c%ssc,chie,,bit_offset,6,6,,verified,,imported,
ftm0,c%ssc,chie,,bit_width,1,1,,verified,,imported,
ftm0,c%ssc,chie,,access,read-write,read-write,,verified,,imported,
ftm0,c%ssc,chf,,bit_offset,7,7,,verified,,imported,
ftm0,c%ssc,chf,,bit_width,1,1,,verified,,imported,
ftm0,c%ssc,chf,,access,read-write,read-write,,verified,,imported,
ftm0,c%sv,,,address_offset,0x10,0x10,,verified,,imported,
ftm0,c%sv,,,reset_value,0,0,,verified,,imported,
ftm0,c%sv,,,size,32,32,,verified,,imported,
ftm0,c%sv,val,,bit_offset,0,0,,verified,,imported,
ftm0,c%sv,val,,bit_width,16,16,,verified,,imported,
ftm0,c%sv,val,,access,read-write,read-write,,verified,,imported,
ftm0,cntin,,,address_offset,0x4C,0x4C,,verified,,imported,
ftm0,cntin,,,reset_value,0,0,,verified,,imported,
ftm0,cntin,,,size,32,32,,verified,,imported,
ftm0,cntin,init,,bit_offset,0,0,,verified,,imported,
ftm0,cntin,init,,bit_width,16,16,,verified,,imported,
ftm0,cntin,init,,access,read-write,read-write,,verified,,imported,
ftm0,status,,,address_offset,0x50,0x50,,verified,,imported,
ftm0,status,,,reset_value,0,0,,verified,,imported,
ftm0,status,,,size,32,32,,verified,,imported,
ftm0,status,ch0f,,bit_offset,0,0,,verified,,imported,
ftm0,status,ch0f,,bit_width,1,1,,verified,,imported,
ftm0,status,ch0f,,access,read-write,read-write,,verified,,imported,
ftm0,status,ch1f,,bit_offset,1,1,,verified,,imported,
ftm0,status,ch1f,,bit_width,1,1,,verified,,imported,
ftm0,status,ch1f,,access,read-write,read-write,,verified,,imported,
ftm0,status,ch2f,,bit_offset,2,2,,verified,,imported,
ftm0,status,ch2f,,bit_width,1,1,,verified,,imported,
ftm0,status,ch2f,,access,read-write,read-write,,verified,,imported,
ftm0,status,ch3f,,bit_offset,3,3,,verified,,imported,
ftm0,status,ch3f,,bit_width,1,1,,verified,,imported,
ftm0,status,ch3f,,access,read-write,read-write,,verified,,imported,
ftm0,status,ch4f,,bit_offset,4,4,,verified,,imported,
ftm0,status,ch4f,,bit_width,1,1,,verified,,imported,
ftm0,status,ch4f,,access,read-write,read-write,,verified,,imported,
ftm0,status,ch5f,,bit_offset,5,5,,verified,,imported,
ftm0,status,ch5f,,bit_width,1,1,,verified,,imported,
ftm0,status,ch5f,,access,read-write,read-write,,verified,,imported,
ftm0,status,ch6f,,bit_offset,6,6,,verified,,imported,
ftm0,status,ch6f,,bit_width,1,1,,verified,,imported,
ftm0,status,ch6f,,access,read-write,read-write,,verified,,imported,
ftm0,status,ch7f,,bit_offset,7,7,,verified,,imported,
ftm0,status,ch7f,,bit_width,1,1,,verified,,imported,
ftm0,status,ch7f,,access,read-write,read-write,,verified,,imported,
ftm0,mode,,,address_offset,0x54,0x54,,verified,,imported,
ftm0,mode,,,reset_value,0x4,0x4,,verified,,imported,
ftm0,mode,,,size,32,32,,verified,,imported,
ftm0,mode,ftmen,,bit_offset,0,0,,verified,,imported,
ftm0,mode,ftmen,,bit_width,1,1,,verified,,imported,
ftm0,mode,ftmen,,access,read-write,read-write,,verified,,imported,
ftm0,mode,init,,bit_offset,1,1,,verified,,imported,
ftm0,mode,init,,bit_width,1,1,,verified,,imported,
ftm0,mode,init,,access,read-write,read-write,,verified,,imported,
ftm0,mode,wpdis,,bit_offset,2,2,,verified,,imported,
ftm0,mode,wpdis,,bit_width,1,1,,verified,,imported,
ftm0,mode,wpdis,,access,read-write,read-write,,verified,,imported,
ftm0,mode,pwmsync,,bit_offset,3,3,,verified,,imported,
ftm0,mode,pwmsync,,bit_width,1,1,,verified,,imported,
ftm0,mode,pwmsync,,access,read-write,read-write,,verified,,imported,
ftm0,mode,captest,,bit_offset,4,4,,verified,,imported,
ftm0,mode,captest,,bit_width,1,1,,verified,,imported,
ftm0,mode,captest,,access,read-write,read-write,,verified,,imported,
ftm0,mode,faultm,,bit_offset,5,5,,verified,,imported,
ftm0,mode,faultm,,bit_width,2,2,,verified,,imported,
ftm0,mode,faultm,,access,read-write,read-write,,verified,,imported,
ftm0,mode,faultie,,bit_offset,7,7,,verified,,imported,
ftm0,mode,faultie,,bit_width,1,1,,verified,,imported,
ftm0,mode,faultie,,access,read-write,read-write,,verified,,imported,
ftm0,sync,,,address_offset,0x58,0x58,,verified,,imported,
ftm0,sync,,,reset_value,0,0,,verified,,imported,
ftm0,sync,,,size,32,32,,verified,,imported,
ftm0,sync,cntmin,,bit_offset,0,0,,verified,,imported,
ftm0,sync,cntmin,,bit_width,1,1,,verified,,imported,
ftm0,sync,cntmin,,access,read-write,read-write,,verified,,imported,
ftm0,sync,cntmax,,bit_offset,1,1,,verified,,imported,
ftm0,sync,cntmax,,bit_width,1,1,,verified,,imported,
ftm0,sync,cntmax,,access,read-write,read-write,,verified,,imported,
ftm0,sync,reinit,,bit_offset,2,2,,verified,,imported,
ftm0,sync,reinit,,bit_width,1,1,,verified,,imported,
ftm0,sync,reinit,,access,read-write,read-write,,verified,,imported,
ftm0,sync,synchom,,bit_offset,3,3,,verified,,imported,
ftm0,sync,synchom,,bit_width,1,1,,verified,,imported,
ftm0,sync,synchom,,access,read-write,read-write,,verified,,imported,
ftm0,sync,trig0,,bit_offset,4,4,,verified,,imported,
ftm0,sync,trig0,,bit_width,1,1,,verified,,imported,
ftm0,sync,trig0,,access,read-write,read-write,,verified,,imported,
ftm0,sync,trig1,,bit_offset,5,5,,verified,,imported,
ftm0,sync,trig1,,bit_width,1,1,,verified,,imported,
ftm0,sync,trig1,,access,read-write,read-write,,verified,,imported,
ftm0,sync,trig2,,bit_offset,6,6,,verified,,imported,
ftm0,sync,trig2,,bit_width,1,1,,verified,,imported,
ftm0,sync,trig2,,access,read-write,read-write,,verified,,imported,
ftm0,sync,swsync,,bit_offset,7,7,,verified,,imported,
ftm0,sync,swsync,,bit_width,1,1,,verified,,imported,
ftm0,sync,swsync,,access,read-write,read-write,,verified,,imported,
ftm0,outinit,,,address_offset,0x5C,0x5C,,verified,,imported,
ftm0,outinit,,,reset_value,0,0,,verified,,imported,
ftm0,outinit,,,size,32,32,,verified,,imported,
