SVD File,Crate,RM,Bug Description,PR,Status
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_NBTP: reset value: svd = 0x0, agent = 0x6000A03",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_RXF1S_F1GI: bit width: svd = 7, agent = 6",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_RXF1S_F1PI: bit width: svd = 7, agent = 6",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_TOCC: reset value: svd = 0x0, agent = 0xFFFF0000",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_TTCTC: reset value: svd = 0x0, agent = 0x3F0000",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_TTOST: reset value: svd = 0x0, agent = 0x80",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_PSR: reset value: svd = 0x0, agent = 0x707",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_TOCV: reset value: svd = 0x0, agent = 0xFFFF",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"FDCAN1\2_XIDAM: reset value: svd = 0x0, agent = 0x1FFFFFFF",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"MDIOS_DINR[0-31]: address offset: svd = 0x1C, agent = 0x100 + 0x4 * x, (x = 0 to 31)",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"MDIOS_DOUTR[0-31]: address offset: svd = 0x9C, agent = 0x180 + 0x4 * x, (x = 0 to 31)",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"RTC_TSDR: reset value: svd = 0x2101, agent = 0x0",,
"stm32h745cm4, stm32h745cm7, stm32h747cm4, stm32h747cm7, stm32h755cm4, stm32h755cm7, stm32h757cm4, stm32h757cm7",stm32-rs,rm0399,"SDMMC1\2_RESPCMDR: reset value: svd = 0xA3C5DD01, agent = 0x0",,
