generator_directory,error_type,peripheral,register,field_name,key,correct_value,generated_value
23,missing,exti,emr,mr12,bit_width,1,
23,missing,exti,emr,mr13,bit_offset,13,
23,missing,exti,emr,mr13,access,read-write,
23,missing,exti,emr,mr13,bit_width,1,
23,missing,exti,emr,mr14,bit_offset,14,
23,missing,exti,emr,mr14,access,read-write,
23,missing,exti,emr,mr14,bit_width,1,
23,missing,exti,emr,mr15,bit_offset,15,
23,missing,exti,emr,mr15,access,read-write,
23,missing,exti,emr,mr15,bit_width,1,
23,missing,exti,emr,mr16,bit_offset,16,
23,missing,exti,emr,mr16,access,read-write,
23,missing,exti,emr,mr16,bit_width,1,
23,missing,exti,emr,mr17,bit_offset,17,
23,missing,exti,emr,mr17,access,read-write,
23,missing,exti,emr,mr17,bit_width,1,
23,missing,exti,emr,mr2,bit_offset,2,
23,missing,exti,emr,mr2,access,read-write,
23,missing,exti,emr,mr2,bit_width,1,
23,missing,exti,emr,mr3,bit_offset,3,
23,missing,exti,emr,mr3,access,read-write,
23,missing,exti,emr,mr3,bit_width,1,
23,missing,exti,emr,mr4,bit_offset,4,
23,missing,exti,emr,mr4,access,read-write,
23,missing,exti,emr,mr4,bit_width,1,
23,missing,exti,emr,mr5,bit_offset,5,
23,missing,exti,emr,mr5,access,read-write,
23,missing,exti,emr,mr5,bit_width,1,
23,missing,exti,emr,mr6,bit_offset,6,
23,missing,exti,emr,mr6,access,read-write,
23,missing,exti,emr,mr6,bit_width,1,
23,missing,exti,emr,mr7,bit_offset,7,
23,missing,exti,emr,mr7,access,read-write,
23,missing,exti,emr,mr7,bit_width,1,
23,missing,exti,emr,mr8,bit_offset,8,
23,missing,exti,emr,mr8,access,read-write,
23,missing,exti,emr,mr8,bit_width,1,
23,missing,exti,emr,mr9,bit_offset,9,
23,missing,exti,emr,mr9,access,read-write,
23,missing,exti,emr,mr9,bit_width,1,
23,missing,exti,ftsr,tr0,bit_offset,0,
23,missing,exti,ftsr,tr0,access,read-write,
23,missing,exti,ftsr,tr0,bit_width,1,
23,missing,exti,ftsr,tr1,bit_offset,1,
23,missing,exti,ftsr,tr1,access,read-write,
23,missing,exti,ftsr,tr1,bit_width,1,
23,missing,exti,ftsr,tr10,bit_offset,10,
23,missing,exti,ftsr,tr10,access,read-write,
23,missing,exti,ftsr,tr10,bit_width,1,
23,missing,exti,ftsr,tr11,bit_offset,11,
23,missing,exti,ftsr,tr11,access,read-write,
23,missing,exti,ftsr,tr11,bit_width,1,
23,missing,exti,ftsr,tr12,bit_offset,12,
23,missing,exti,ftsr,tr12,access,read-write,
23,missing,exti,ftsr,tr12,bit_width,1,
23,missing,exti,ftsr,tr13,bit_offset,13,
23,missing,exti,ftsr,tr13,access,read-write,
23,missing,exti,ftsr,tr13,bit_width,1,
23,missing,exti,ftsr,tr14,bit_offset,14,
23,missing,exti,ftsr,tr14,access,read-write,
23,missing,exti,ftsr,tr14,bit_width,1,
23,missing,exti,ftsr,tr15,bit_offset,15,
23,missing,exti,ftsr,tr15,access,read-write,
23,missing,exti,ftsr,tr15,bit_width,1,
23,missing,exti,ftsr,tr16,bit_offset,16,
23,missing,exti,ftsr,tr16,access,read-write,
23,missing,exti,ftsr,tr16,bit_width,1,
23,missing,exti,ftsr,tr17,bit_offset,17,
23,missing,exti,ftsr,tr17,access,read-write,
23,missing,exti,ftsr,tr17,bit_width,1,
23,missing,exti,ftsr,tr2,bit_offset,2,
23,missing,exti,ftsr,tr2,access,read-write,
23,missing,exti,ftsr,tr2,bit_width,1,
23,missing,exti,ftsr,tr3,bit_offset,3,
23,missing,exti,ftsr,tr3,access,read-write,
23,missing,exti,ftsr,tr3,bit_width,1,
23,missing,exti,ftsr,tr4,bit_offset,4,
23,missing,exti,ftsr,tr4,access,read-write,
23,missing,exti,ftsr,tr4,bit_width,1,
23,missing,exti,ftsr,tr5,bit_offset,5,
23,missing,exti,ftsr,tr5,access,read-write,
23,missing,exti,ftsr,tr5,bit_width,1,
23,missing,exti,ftsr,tr6,bit_offset,6,
23,missing,exti,ftsr,tr6,access,read-write,
23,missing,exti,ftsr,tr6,bit_width,1,
23,missing,exti,ftsr,tr7,bit_offset,7,
23,missing,exti,ftsr,tr7,access,read-write,
23,missing,exti,ftsr,tr7,bit_width,1,
23,missing,exti,ftsr,tr8,bit_offset,8,
23,missing,exti,ftsr,tr8,access,read-write,
23,missing,exti,ftsr,tr8,bit_width,1,
23,missing,exti,ftsr,tr9,bit_offset,9,
23,missing,exti,ftsr,tr9,access,read-write,
23,missing,exti,ftsr,tr9,bit_width,1,
23,missing,exti,imr,mr0,bit_offset,0,
23,missing,exti,imr,mr0,access,read-write,
23,missing,exti,imr,mr0,bit_width,1,
23,missing,exti,imr,mr1,bit_offset,1,
23,missing,exti,imr,mr1,access,read-write,
23,missing,exti,imr,mr1,bit_width,1,
23,missing,exti,imr,mr10,bit_offset,10,
23,missing,exti,imr,mr10,access,read-write,
23,missing,exti,imr,mr10,bit_width,1,
23,missing,exti,imr,mr11,bit_offset,11,
23,missing,exti,imr,mr11,access,read-write,
23,missing,exti,imr,mr11,bit_width,1,
23,missing,exti,imr,mr12,bit_offset,12,
23,missing,exti,imr,mr12,access,read-write,
23,missing,exti,imr,mr12,bit_width,1,
23,missing,exti,imr,mr13,bit_offset,13,
23,missing,exti,imr,mr13,access,read-write,
23,missing,exti,imr,mr13,bit_width,1,
23,missing,exti,imr,mr14,bit_offset,14,
23,missing,exti,imr,mr14,access,read-write,
23,missing,exti,imr,mr14,bit_width,1,
23,missing,exti,imr,mr15,bit_offset,15,
23,missing,exti,imr,mr15,access,read-write,
23,missing,exti,imr,mr15,bit_width,1,
23,missing,exti,imr,mr16,bit_offset,16,
23,missing,exti,imr,mr16,access,read-write,
23,missing,exti,imr,mr16,bit_width,1,
23,missing,exti,imr,mr17,bit_offset,17,
23,missing,exti,imr,mr17,access,read-write,
23,missing,exti,imr,mr17,bit_width,1,
23,missing,exti,imr,mr2,bit_offset,2,
23,missing,exti,imr,mr2,access,read-write,
23,missing,exti,imr,mr2,bit_width,1,
23,missing,exti,imr,mr3,bit_offset,3,
23,missing,exti,imr,mr3,access,read-write,
23,missing,exti,imr,mr3,bit_width,1,
23,missing,exti,imr,mr4,bit_offset,4,
23,missing,exti,imr,mr4,access,read-write,
23,missing,exti,imr,mr4,bit_width,1,
23,missing,exti,imr,mr5,bit_offset,5,
23,missing,exti,imr,mr5,access,read-write,
23,missing,exti,imr,mr5,bit_width,1,
23,missing,exti,imr,mr6,bit_offset,6,
23,missing,exti,imr,mr6,access,read-write,
23,missing,exti,imr,mr6,bit_width,1,
23,missing,exti,imr,mr7,bit_offset,7,
23,missing,exti,imr,mr7,access,read-write,
23,missing,exti,imr,mr7,bit_width,1,
23,missing,exti,imr,mr8,bit_offset,8,
23,missing,exti,imr,mr8,access,read-write,
23,missing,exti,imr,mr8,bit_width,1,
23,missing,exti,imr,mr9,bit_offset,9,
23,missing,exti,imr,mr9,access,read-write,
23,missing,exti,imr,mr9,bit_width,1,
23,wrong,exti,pr,,reset_value,0x00000000,None
23,missing,exti,pr,pr0,bit_offset,0,
23,missing,exti,pr,pr0,access,read-write,
23,missing,exti,pr,pr0,bit_width,1,
23,missing,exti,pr,pr1,bit_offset,1,
23,missing,exti,pr,pr1,access,read-write,
23,missing,exti,pr,pr1,bit_width,1,
23,missing,exti,pr,pr10,bit_offset,10,
23,missing,exti,pr,pr10,access,read-write,
23,missing,exti,pr,pr10,bit_width,1,
23,missing,exti,pr,pr11,bit_offset,11,
23,missing,exti,pr,pr11,access,read-write,
23,missing,exti,pr,pr11,bit_width,1,
23,missing,exti,pr,pr12,bit_offset,12,
23,missing,exti,pr,pr12,access,read-write,
23,missing,exti,pr,pr12,bit_width,1,
23,missing,exti,pr,pr13,bit_offset,13,
23,missing,exti,pr,pr13,access,read-write,
23,missing,exti,pr,pr13,bit_width,1,
23,missing,exti,pr,pr14,bit_offset,14,
23,missing,exti,pr,pr14,access,read-write,
23,missing,exti,pr,pr14,bit_width,1,
23,missing,exti,pr,pr15,bit_offset,15,
23,missing,exti,pr,pr15,access,read-write,
23,missing,exti,pr,pr15,bit_width,1,
23,missing,exti,pr,pr16,bit_offset,16,
23,missing,exti,pr,pr16,access,read-write,
23,missing,exti,pr,pr16,bit_width,1,
23,missing,exti,pr,pr17,bit_offset,17,
23,missing,exti,pr,pr17,access,read-write,
23,missing,exti,pr,pr17,bit_width,1,
23,missing,exti,pr,pr2,bit_offset,2,
23,missing,exti,pr,pr2,access,read-write,
23,missing,exti,pr,pr2,bit_width,1,
23,missing,exti,pr,pr3,bit_offset,3,
23,missing,exti,pr,pr3,access,read-write,
23,missing,exti,pr,pr3,bit_width,1,
23,missing,exti,pr,pr4,bit_offset,4,
23,missing,exti,pr,pr4,access,read-write,
23,missing,exti,pr,pr4,bit_width,1,
23,missing,exti,pr,pr5,bit_offset,5,
23,missing,exti,pr,pr5,access,read-write,
23,missing,exti,pr,pr5,bit_width,1,
23,missing,exti,pr,pr6,bit_offset,6,
23,missing,exti,pr,pr6,access,read-write,
23,missing,exti,pr,pr6,bit_width,1,
23,missing,exti,pr,pr7,bit_offset,7,
23,missing,exti,pr,pr7,access,read-write,
23,missing,exti,pr,pr7,bit_width,1,
23,missing,exti,pr,pr8,bit_offset,8,
23,missing,exti,pr,pr8,access,read-write,
23,missing,exti,pr,pr8,bit_width,1,
23,missing,exti,pr,pr9,bit_offset,9,
23,missing,exti,pr,pr9,access,read-write,
23,missing,exti,pr,pr9,bit_width,1,
23,missing,exti,rtsr,tr0,bit_offset,0,
23,missing,exti,rtsr,tr0,access,read-write,
23,missing,exti,rtsr,tr0,bit_width,1,
23,missing,exti,rtsr,tr1,bit_offset,1,
23,missing,exti,rtsr,tr1,access,read-write,
23,missing,exti,rtsr,tr1,bit_width,1,
23,missing,exti,rtsr,tr10,bit_offset,10,
23,missing,exti,rtsr,tr10,access,read-write,
23,missing,exti,rtsr,tr10,bit_width,1,
23,missing,exti,rtsr,tr11,bit_offset,11,
23,missing,exti,rtsr,tr11,access,read-write,
23,missing,exti,rtsr,tr11,bit_width,1,
23,missing,exti,rtsr,tr12,bit_offset,12,
23,missing,exti,rtsr,tr12,access,read-write,
23,missing,exti,rtsr,tr12,bit_width,1,
23,missing,exti,rtsr,tr13,bit_offset,13,
23,missing,exti,rtsr,tr13,access,read-write,
23,missing,exti,rtsr,tr13,bit_width,1,
23,missing,exti,rtsr,tr14,bit_offset,14,
23,missing,exti,rtsr,tr14,access,read-write,
23,missing,exti,rtsr,tr14,bit_width,1,
23,missing,exti,rtsr,tr15,bit_offset,15,
23,missing,exti,rtsr,tr15,access,read-write,
23,missing,exti,rtsr,tr15,bit_width,1,
23,missing,exti,rtsr,tr16,bit_offset,16,
23,missing,exti,rtsr,tr16,access,read-write,
23,missing,exti,rtsr,tr16,bit_width,1,
23,missing,exti,rtsr,tr17,bit_offset,17,
23,missing,exti,rtsr,tr17,access,read-write,
23,missing,exti,rtsr,tr17,bit_width,1,
23,missing,exti,rtsr,tr2,bit_offset,2,
23,missing,exti,rtsr,tr2,access,read-write,
23,missing,exti,rtsr,tr2,bit_width,1,
23,missing,exti,rtsr,tr3,bit_offset,3,
23,missing,exti,rtsr,tr3,access,read-write,
23,missing,exti,rtsr,tr3,bit_width,1,
23,missing,exti,rtsr,tr4,bit_offset,4,
23,missing,exti,rtsr,tr4,access,read-write,
23,missing,exti,rtsr,tr4,bit_width,1,
23,missing,exti,rtsr,tr5,bit_offset,5,
23,missing,exti,rtsr,tr5,access,read-write,
23,missing,exti,rtsr,tr5,bit_width,1,
23,missing,exti,rtsr,tr6,bit_offset,6,
23,missing,exti,rtsr,tr6,access,read-write,
23,missing,exti,rtsr,tr6,bit_width,1,
23,missing,exti,rtsr,tr7,bit_offset,7,
23,missing,exti,rtsr,tr7,access,read-write,
23,missing,exti,rtsr,tr7,bit_width,1,
23,missing,exti,rtsr,tr8,bit_offset,8,
23,missing,exti,rtsr,tr8,access,read-write,
23,missing,exti,rtsr,tr8,bit_width,1,
23,missing,exti,rtsr,tr9,bit_offset,9,
23,missing,exti,rtsr,tr9,access,read-write,
23,missing,exti,rtsr,tr9,bit_width,1,
23,missing,exti,swier,swier0,bit_offset,0,
23,missing,exti,swier,swier0,access,read-write,
23,missing,exti,swier,swier0,bit_width,1,
23,missing,exti,swier,swier1,bit_offset,1,
23,missing,exti,swier,swier1,access,read-write,
23,missing,exti,swier,swier1,bit_width,1,
23,missing,exti,swier,swier10,bit_offset,10,
23,missing,exti,swier,swier10,access,read-write,
23,missing,exti,swier,swier10,bit_width,1,
23,missing,exti,swier,swier11,bit_offset,11,
23,missing,exti,swier,swier11,access,read-write,
23,missing,exti,swier,swier11,bit_width,1,
23,missing,exti,swier,swier12,bit_offset,12,
23,missing,exti,swier,swier12,access,read-write,
23,missing,exti,swier,swier12,bit_width,1,
23,missing,exti,swier,swier13,bit_offset,13,
23,missing,exti,swier,swier13,access,read-write,
23,missing,exti,swier,swier13,bit_width,1,
23,missing,exti,swier,swier14,bit_offset,14,
23,missing,exti,swier,swier14,access,read-write,
23,missing,exti,swier,swier14,bit_width,1,
23,missing,exti,swier,swier15,bit_offset,15,
23,missing,exti,swier,swier15,access,read-write,
23,missing,exti,swier,swier15,bit_width,1,
23,missing,exti,swier,swier16,bit_offset,16,
23,missing,exti,swier,swier16,access,read-write,
23,missing,exti,swier,swier16,bit_width,1,
23,missing,exti,swier,swier17,bit_offset,17,
23,missing,exti,swier,swier17,access,read-write,
23,missing,exti,swier,swier17,bit_width,1,
23,missing,exti,swier,swier2,bit_offset,2,
23,missing,exti,swier,swier2,access,read-write,
23,missing,exti,swier,swier2,bit_width,1,
23,missing,exti,swier,swier3,bit_offset,3,
23,missing,exti,swier,swier3,access,read-write,
23,missing,exti,swier,swier3,bit_width,1,
23,missing,exti,swier,swier4,bit_offset,4,
23,missing,exti,swier,swier4,access,read-write,
23,missing,exti,swier,swier4,bit_width,1,
23,missing,exti,swier,swier5,bit_offset,5,
23,missing,exti,swier,swier5,access,read-write,
23,missing,exti,swier,swier5,bit_width,1,
23,missing,exti,swier,swier6,bit_offset,6,
23,missing,exti,swier,swier6,access,read-write,
23,missing,exti,swier,swier6,bit_width,1,
23,missing,exti,swier,swier7,bit_offset,7,
23,missing,exti,swier,swier7,access,read-write,
23,missing,exti,swier,swier7,bit_width,1,
23,missing,exti,swier,swier8,bit_offset,8,
23,missing,exti,swier,swier8,access,read-write,
23,missing,exti,swier,swier8,bit_width,1,
23,missing,exti,swier,swier9,bit_offset,9,
23,missing,exti,swier,swier9,access,read-write,
23,missing,exti,swier,swier9,bit_width,1,
23,missing,flash,ar,,address_offset,0x14,
23,missing,flash,ar,,size,32,
23,missing,flash,cr,,address_offset,0x10,
23,missing,flash,cr,,reset_value,0x80,
23,missing,flash,cr,,size,32,
23,missing,flash,cr,lock,bit_offset,7,
23,missing,flash,cr,lock,access,read-write,
23,missing,flash,cr,strt,bit_offset,6,
23,missing,flash,cr,strt,access,read-write,
23,missing,flash,keyr,,address_offset,0x4,
23,missing,flash,keyr,,size,32,
23,missing,flash,obr,,address_offset,0x1C,
23,missing,flash,obr,,reset_value,0x3FFFFFC,
23,missing,flash,obr,,size,32,
23,missing,flash,obr,data0,bit_offset,10,
23,missing,flash,obr,data0,access,read-only,
23,missing,flash,optkeyr,,address_offset,0x8,
23,missing,flash,optkeyr,,size,32,
23,missing,flash,sr,,address_offset,0xC,
23,missing,flash,sr,,reset_value,0x0,
23,missing,flash,sr,,size,32,
23,missing,flash,sr,eop,bit_offset,5,
23,missing,flash,sr,eop,access,read-write,
23,missing,flash,wrpr,,address_offset,0x20,
23,missing,flash,wrpr,,reset_value,0xFFFFFFFF,
23,missing,flash,wrpr,,size,32,
23,missing,fsmc,bcr1,asyncwait,bit_offset,15,
23,missing,fsmc,bcr1,asyncwait,access,read-write,
23,missing,fsmc,bcr1,asyncwait,bit_width,1,
23,missing,fsmc,bcr1,bursten,bit_offset,8,
23,missing,fsmc,bcr1,bursten,access,read-write,
23,missing,fsmc,bcr1,bursten,bit_width,1,
23,missing,fsmc,bcr1,cburstrw,bit_offset,19,
23,missing,fsmc,bcr1,cburstrw,access,read-write,
23,missing,fsmc,bcr1,cburstrw,bit_width,1,
23,missing,fsmc,bcr1,extmod,bit_offset,14,
23,missing,fsmc,bcr1,extmod,access,read-write,
23,missing,fsmc,bcr1,extmod,bit_width,1,
23,missing,fsmc,bcr1,faccen,bit_offset,6,
23,missing,fsmc,bcr1,faccen,access,read-write,
23,missing,fsmc,bcr1,faccen,bit_width,1,
23,missing,fsmc,bcr1,mbken,bit_offset,0,
23,missing,fsmc,bcr1,mbken,access,read-write,
23,missing,fsmc,bcr1,mbken,bit_width,1,
23,missing,fsmc,bcr1,mtyp,bit_offset,2,
23,missing,fsmc,bcr1,mtyp,access,read-write,
23,missing,fsmc,bcr1,mtyp,bit_width,2,
23,missing,fsmc,bcr1,muxen,bit_offset,1,
23,missing,fsmc,bcr1,muxen,access,read-write,
23,missing,fsmc,bcr1,muxen,bit_width,1,
23,missing,fsmc,bcr1,mwid,bit_offset,4,
23,missing,fsmc,bcr1,mwid,access,read-write,
23,missing,fsmc,bcr1,mwid,bit_width,2,
23,missing,fsmc,bcr1,waitcfg,bit_offset,11,
23,missing,fsmc,bcr1,waitcfg,access,read-write,
23,missing,fsmc,bcr1,waitcfg,bit_width,1,
23,missing,fsmc,bcr1,waiten,bit_offset,13,
23,missing,fsmc,bcr1,waiten,access,read-write,
23,missing,fsmc,bcr1,waiten,bit_width,1,
23,missing,fsmc,bcr1,waitpol,bit_offset,9,
23,missing,fsmc,bcr1,waitpol,access,read-write,
23,missing,fsmc,bcr1,waitpol,bit_width,1,
23,missing,fsmc,bcr1,wren,bit_offset,12,
23,missing,fsmc,bcr1,wren,access,read-write,
23,missing,fsmc,bcr1,wren,bit_width,1,
23,missing,fsmc,bcr1,cpsize,bit_offset,16,
23,missing,fsmc,bcr1,cpsize,bit_width,3,
23,missing,fsmc,bcr1,wrapmod,bit_offset,10,
23,missing,fsmc,bcr1,wrapmod,bit_width,1,
23,missing,fsmc,bcr2,asyncwait,bit_offset,15,
23,missing,fsmc,bcr2,asyncwait,access,read-write,
23,missing,fsmc,bcr2,asyncwait,bit_width,1,
23,missing,fsmc,bcr2,bursten,bit_offset,8,
23,missing,fsmc,bcr2,bursten,access,read-write,
23,missing,fsmc,bcr2,bursten,bit_width,1,
23,missing,fsmc,bcr2,cburstrw,bit_offset,19,
23,missing,fsmc,bcr2,cburstrw,access,read-write,
23,missing,fsmc,bcr2,cburstrw,bit_width,1,
23,missing,fsmc,bcr2,extmod,bit_offset,14,
23,missing,fsmc,bcr2,extmod,access,read-write,
23,missing,fsmc,bcr2,extmod,bit_width,1,
23,missing,fsmc,bcr2,faccen,bit_offset,6,
23,missing,fsmc,bcr2,faccen,access,read-write,
23,missing,fsmc,bcr2,faccen,bit_width,1,
23,missing,fsmc,bcr2,mbken,bit_offset,0,
23,missing,fsmc,bcr2,mbken,access,read-write,
23,missing,fsmc,bcr2,mbken,bit_width,1,
23,missing,fsmc,bcr2,mtyp,bit_offset,2,
23,missing,fsmc,bcr2,mtyp,access,read-write,
23,missing,fsmc,bcr2,mtyp,bit_width,2,
23,missing,fsmc,bcr2,muxen,bit_offset,1,
23,missing,fsmc,bcr2,muxen,access,read-write,
23,missing,fsmc,bcr2,muxen,bit_width,1,
23,missing,fsmc,bcr2,mwid,bit_offset,4,
23,missing,fsmc,bcr2,mwid,access,read-write,
23,missing,fsmc,bcr2,mwid,bit_width,2,
23,missing,fsmc,bcr2,waitcfg,bit_offset,11,
23,missing,fsmc,bcr2,waitcfg,access,read-write,
23,missing,fsmc,bcr2,waitcfg,bit_width,1,
23,missing,fsmc,bcr2,waiten,bit_offset,13,
23,missing,fsmc,bcr2,waiten,access,read-write,
23,missing,fsmc,bcr2,waiten,bit_width,1,
23,missing,fsmc,bcr2,waitpol,bit_offset,9,
23,missing,fsmc,bcr2,waitpol,access,read-write,
23,missing,fsmc,bcr2,waitpol,bit_width,1,
23,missing,fsmc,bcr2,wrapmod,bit_offset,10,
23,missing,fsmc,bcr2,wrapmod,access,read-write,
23,missing,fsmc,bcr2,wrapmod,bit_width,1,
23,missing,fsmc,bcr2,wren,bit_offset,12,
23,missing,fsmc,bcr2,wren,access,read-write,
23,missing,fsmc,bcr2,wren,bit_width,1,
23,missing,fsmc,bcr2,cpsize,bit_offset,16,
23,missing,fsmc,bcr2,cpsize,bit_width,3,
23,missing,fsmc,bcr3,asyncwait,bit_offset,15,
23,missing,fsmc,bcr3,asyncwait,access,read-write,
23,missing,fsmc,bcr3,asyncwait,bit_width,1,
23,missing,fsmc,bcr3,bursten,bit_offset,8,
23,missing,fsmc,bcr3,bursten,access,read-write,
23,missing,fsmc,bcr3,bursten,bit_width,1,
23,missing,fsmc,bcr3,cburstrw,bit_offset,19,
23,missing,fsmc,bcr3,cburstrw,access,read-write,
23,missing,fsmc,bcr3,cburstrw,bit_width,1,
23,missing,fsmc,bcr3,extmod,bit_offset,14,
23,missing,fsmc,bcr3,extmod,access,read-write,
23,missing,fsmc,bcr3,extmod,bit_width,1,
23,missing,fsmc,bcr3,faccen,bit_offset,6,
23,missing,fsmc,bcr3,faccen,access,read-write,
23,missing,fsmc,bcr3,faccen,bit_width,1,
23,missing,fsmc,bcr3,mbken,bit_offset,0,
23,missing,fsmc,bcr3,mbken,access,read-write,
23,missing,fsmc,bcr3,mbken,bit_width,1,
23,missing,fsmc,bcr3,mtyp,bit_offset,2,
23,missing,fsmc,bcr3,mtyp,access,read-write,
23,missing,fsmc,bcr3,mtyp,bit_width,2,
23,missing,fsmc,bcr3,muxen,bit_offset,1,
23,missing,fsmc,bcr3,muxen,access,read-write,
23,missing,fsmc,bcr3,muxen,bit_width,1,
23,missing,fsmc,bcr3,mwid,bit_offset,4,
23,missing,fsmc,bcr3,mwid,access,read-write,
23,missing,fsmc,bcr3,mwid,bit_width,2,
23,missing,fsmc,bcr3,waitcfg,bit_offset,11,
23,missing,fsmc,bcr3,waitcfg,access,read-write,
23,missing,fsmc,bcr3,waitcfg,bit_width,1,
23,missing,fsmc,bcr3,waiten,bit_offset,13,
23,missing,fsmc,bcr3,waiten,access,read-write,
23,missing,fsmc,bcr3,waiten,bit_width,1,
