error_type,peripheral,register,field_name,key,correct_value,generated_value
missing,fsmc,bcr2,asyncwait,bit_width,1,
missing,fsmc,bcr2,bursten,bit_offset,8,
missing,fsmc,bcr2,bursten,access,read-write,
missing,fsmc,bcr2,bursten,bit_width,1,
missing,fsmc,bcr2,cburstrw,bit_offset,19,
missing,fsmc,bcr2,cburstrw,access,read-write,
missing,fsmc,bcr2,cburstrw,bit_width,1,
missing,fsmc,bcr2,extmod,bit_offset,14,
missing,fsmc,bcr2,extmod,access,read-write,
missing,fsmc,bcr2,extmod,bit_width,1,
missing,fsmc,bcr2,faccen,bit_offset,6,
missing,fsmc,bcr2,faccen,access,read-write,
missing,fsmc,bcr2,faccen,bit_width,1,
missing,fsmc,bcr2,mtyp,bit_offset,2,
missing,fsmc,bcr2,mtyp,access,read-write,
missing,fsmc,bcr2,mtyp,bit_width,2,
missing,fsmc,bcr2,mwid,bit_offset,4,
missing,fsmc,bcr2,mwid,access,read-write,
missing,fsmc,bcr2,mwid,bit_width,2,
missing,fsmc,bcr2,waitcfg,bit_offset,11,
missing,fsmc,bcr2,waitcfg,access,read-write,
missing,fsmc,bcr2,waitcfg,bit_width,1,
missing,fsmc,bcr2,waiten,bit_offset,13,
missing,fsmc,bcr2,waiten,access,read-write,
missing,fsmc,bcr2,waiten,bit_width,1,
missing,fsmc,bcr2,waitpol,bit_offset,9,
missing,fsmc,bcr2,waitpol,access,read-write,
missing,fsmc,bcr2,waitpol,bit_width,1,
missing,fsmc,bcr2,wrapmod,bit_offset,10,
missing,fsmc,bcr2,wrapmod,access,read-write,
missing,fsmc,bcr2,wrapmod,bit_width,1,
missing,fsmc,bcr2,wren,bit_offset,12,
missing,fsmc,bcr2,wren,access,read-write,
missing,fsmc,bcr2,wren,bit_width,1,
missing,fsmc,bcr2,cpsize,bit_offset,16,
missing,fsmc,bcr2,cpsize,bit_width,3,
missing,fsmc,bcr4,,address_offset,0x18,
missing,fsmc,bcr4,,reset_value,0x30D2,
missing,fsmc,bcr4,,size,32,
missing,fsmc,bcr4,asyncwait,bit_offset,15,
missing,fsmc,bcr4,asyncwait,access,read-write,
missing,fsmc,bcr4,asyncwait,bit_width,1,
missing,fsmc,bcr4,bursten,bit_offset,8,
missing,fsmc,bcr4,bursten,access,read-write,
missing,fsmc,bcr4,bursten,bit_width,1,
missing,fsmc,bcr4,cburstrw,bit_offset,19,
missing,fsmc,bcr4,cburstrw,access,read-write,
missing,fsmc,bcr4,cburstrw,bit_width,1,
missing,fsmc,bcr4,extmod,bit_offset,14,
missing,fsmc,bcr4,extmod,access,read-write,
missing,fsmc,bcr4,extmod,bit_width,1,
missing,fsmc,bcr4,faccen,bit_offset,6,
missing,fsmc,bcr4,faccen,access,read-write,
missing,fsmc,bcr4,faccen,bit_width,1,
missing,fsmc,bcr4,mbken,bit_offset,0,
missing,fsmc,bcr4,mbken,access,read-write,
missing,fsmc,bcr4,mbken,bit_width,1,
missing,fsmc,bcr4,mtyp,bit_offset,2,
missing,fsmc,bcr4,mtyp,access,read-write,
missing,fsmc,bcr4,mtyp,bit_width,2,
missing,fsmc,bcr4,muxen,bit_offset,1,
missing,fsmc,bcr4,muxen,access,read-write,
missing,fsmc,bcr4,muxen,bit_width,1,
missing,fsmc,bcr4,mwid,bit_offset,4,
missing,fsmc,bcr4,mwid,access,read-write,
missing,fsmc,bcr4,mwid,bit_width,2,
missing,fsmc,bcr4,waitcfg,bit_offset,11,
missing,fsmc,bcr4,waitcfg,access,read-write,
missing,fsmc,bcr4,waitcfg,bit_width,1,
missing,fsmc,bcr4,waiten,bit_offset,13,
missing,fsmc,bcr4,waiten,access,read-write,
missing,fsmc,bcr4,waiten,bit_width,1,
missing,fsmc,bcr4,waitpol,bit_offset,9,
missing,fsmc,bcr4,waitpol,access,read-write,
missing,fsmc,bcr4,waitpol,bit_width,1,
missing,fsmc,bcr4,wrapmod,bit_offset,10,
missing,fsmc,bcr4,wrapmod,access,read-write,
missing,fsmc,bcr4,wrapmod,bit_width,1,
missing,fsmc,bcr4,wren,bit_offset,12,
missing,fsmc,bcr4,wren,access,read-write,
missing,fsmc,bcr4,wren,bit_width,1,
missing,fsmc,bcr4,cpsize,bit_offset,16,
missing,fsmc,bcr4,cpsize,bit_width,3,
wrong,fsmc,bwtr4,accmod,bit_offset,28,27
wrong,fsmc,bwtr4,accmod,bit_width,2,3
wrong,fsmc,bwtr4,addhld,bit_offset,4,3
wrong,fsmc,bwtr4,addset,bit_width,4,3
wrong,fsmc,bwtr4,datast,bit_offset,8,7
wrong,fsmc,bwtr4,busturn,bit_offset,16,15
wrong,pwr,cr,csbf,access,read-write,None
wrong,pwr,cr,cwuf,access,read-write,None
wrong,pwr,cr,dbp,access,read-write,None
wrong,pwr,cr,lpds,access,read-write,None
wrong,pwr,cr,pdds,access,read-write,None
wrong,pwr,cr,pls,access,read-write,None
wrong,pwr,cr,pvde,access,read-write,None
missing,rcc,ahbenr,,address_offset,0x14,
missing,rcc,ahbenr,,reset_value,0x00000014,
missing,rcc,ahbenr,,size,32,
missing,rcc,ahbenr,crcen,bit_offset,6,
missing,rcc,ahbenr,crcen,access,read-write,
missing,rcc,ahbenr,crcen,bit_width,1,
missing,rcc,ahbenr,dma1en,bit_offset,0,
missing,rcc,ahbenr,dma1en,access,read-write,
missing,rcc,ahbenr,dma1en,bit_width,1,
missing,rcc,ahbenr,dma2en,bit_offset,1,
missing,rcc,ahbenr,dma2en,access,read-write,
missing,rcc,ahbenr,dma2en,bit_width,1,
missing,rcc,ahbenr,flitfen,bit_offset,4,
missing,rcc,ahbenr,flitfen,access,read-write,
missing,rcc,ahbenr,flitfen,bit_width,1,
missing,rcc,ahbenr,fsmcen,bit_offset,8,
missing,rcc,ahbenr,fsmcen,access,read-write,
missing,rcc,ahbenr,fsmcen,bit_width,1,
missing,rcc,ahbenr,sramen,bit_offset,2,
missing,rcc,ahbenr,sramen,access,read-write,
missing,rcc,ahbenr,sramen,bit_width,1,
missing,rcc,apb1rstr,,address_offset,0x10,
missing,rcc,apb1rstr,,reset_value,0x00000000,
missing,rcc,apb1rstr,,size,32,
missing,rcc,apb1rstr,bkprst,bit_offset,27,
missing,rcc,apb1rstr,bkprst,access,read-write,
missing,rcc,apb1rstr,bkprst,bit_width,1,
missing,rcc,apb1rstr,cecrst,bit_offset,30,
missing,rcc,apb1rstr,cecrst,access,read-write,
missing,rcc,apb1rstr,cecrst,bit_width,1,
missing,rcc,apb1rstr,dacrst,bit_offset,29,
missing,rcc,apb1rstr,dacrst,access,read-write,
missing,rcc,apb1rstr,dacrst,bit_width,1,
missing,rcc,apb1rstr,i2c1rst,bit_offset,21,
missing,rcc,apb1rstr,i2c1rst,access,read-write,
missing,rcc,apb1rstr,i2c1rst,bit_width,1,
missing,rcc,apb1rstr,i2c2rst,bit_offset,22,
missing,rcc,apb1rstr,i2c2rst,access,read-write,
missing,rcc,apb1rstr,i2c2rst,bit_width,1,
missing,rcc,apb1rstr,pwrrst,bit_offset,28,
missing,rcc,apb1rstr,pwrrst,access,read-write,
missing,rcc,apb1rstr,pwrrst,bit_width,1,
missing,rcc,apb1rstr,spi2rst,bit_offset,14,
missing,rcc,apb1rstr,spi2rst,access,read-write,
missing,rcc,apb1rstr,spi2rst,bit_width,1,
missing,rcc,apb1rstr,spi3rst,bit_offset,15,
missing,rcc,apb1rstr,spi3rst,access,read-write,
missing,rcc,apb1rstr,spi3rst,bit_width,1,
missing,rcc,apb1rstr,tim12rst,bit_offset,6,
missing,rcc,apb1rstr,tim12rst,access,read-write,
missing,rcc,apb1rstr,tim12rst,bit_width,1,
missing,rcc,apb1rstr,tim13rst,bit_offset,7,
missing,rcc,apb1rstr,tim13rst,access,read-write,
missing,rcc,apb1rstr,tim13rst,bit_width,1,
missing,rcc,apb1rstr,tim14rst,bit_offset,8,
missing,rcc,apb1rstr,tim14rst,access,read-write,
missing,rcc,apb1rstr,tim14rst,bit_width,1,
missing,rcc,apb1rstr,tim2rst,bit_offset,0,
missing,rcc,apb1rstr,tim2rst,access,read-write,
missing,rcc,apb1rstr,tim2rst,bit_width,1,
missing,rcc,apb1rstr,tim3rst,bit_offset,1,
missing,rcc,apb1rstr,tim3rst,access,read-write,
missing,rcc,apb1rstr,tim3rst,bit_width,1,
missing,rcc,apb1rstr,tim4rst,bit_offset,2,
missing,rcc,apb1rstr,tim4rst,access,read-write,
missing,rcc,apb1rstr,tim4rst,bit_width,1,
missing,rcc,apb1rstr,tim5rst,bit_offset,3,
missing,rcc,apb1rstr,tim5rst,access,read-write,
missing,rcc,apb1rstr,tim5rst,bit_width,1,
missing,rcc,apb1rstr,tim6rst,bit_offset,4,
missing,rcc,apb1rstr,tim6rst,access,read-write,
missing,rcc,apb1rstr,tim6rst,bit_width,1,
missing,rcc,apb1rstr,tim7rst,bit_offset,5,
missing,rcc,apb1rstr,tim7rst,access,read-write,
missing,rcc,apb1rstr,tim7rst,bit_width,1,
missing,rcc,apb1rstr,usart2rst,bit_offset,17,
missing,rcc,apb1rstr,usart2rst,access,read-write,
missing,rcc,apb1rstr,usart2rst,bit_width,1,
missing,rcc,apb1rstr,usart3rst,bit_offset,18,
missing,rcc,apb1rstr,usart3rst,access,read-write,
missing,rcc,apb1rstr,usart3rst,bit_width,1,
missing,rcc,apb1rstr,wwdgrst,bit_offset,11,
missing,rcc,apb1rstr,wwdgrst,access,read-write,
missing,rcc,apb1rstr,wwdgrst,bit_width,1,
missing,rcc,apb1rstr,usart4rst,bit_offset,19,
missing,rcc,apb1rstr,usart4rst,access,read-write,
missing,rcc,apb1rstr,usart4rst,bit_width,1,
missing,rcc,apb1rstr,usart5rst,bit_offset,20,
missing,rcc,apb1rstr,usart5rst,access,read-write,
missing,rcc,apb1rstr,usart5rst,bit_width,1,
missing,rcc,apb1rstr,uart4rst,bit_offset,19,
missing,rcc,apb1rstr,uart4rst,bit_width,1,
missing,rcc,apb1rstr,uart5rst,bit_offset,20,
missing,rcc,apb1rstr,uart5rst,bit_width,1,
missing,rcc,apb2rstr,,address_offset,0xC,
missing,rcc,apb2rstr,,reset_value,0x000000000,
missing,rcc,apb2rstr,,size,32,
missing,rcc,apb2rstr,afiorst,bit_offset,0,
missing,rcc,apb2rstr,afiorst,access,read-write,
missing,rcc,apb2rstr,afiorst,bit_width,1,
missing,rcc,apb2rstr,ioparst,bit_offset,2,
missing,rcc,apb2rstr,ioparst,access,read-write,
missing,rcc,apb2rstr,ioparst,bit_width,1,
missing,rcc,apb2rstr,iopbrst,bit_offset,3,
missing,rcc,apb2rstr,iopbrst,access,read-write,
missing,rcc,apb2rstr,iopbrst,bit_width,1,
missing,rcc,apb2rstr,iopcrst,bit_offset,4,
missing,rcc,apb2rstr,iopcrst,access,read-write,
missing,rcc,apb2rstr,iopcrst,bit_width,1,
missing,rcc,apb2rstr,iopdrst,bit_offset,5,
missing,rcc,apb2rstr,iopdrst,access,read-write,
missing,rcc,apb2rstr,iopdrst,bit_width,1,
missing,rcc,apb2rstr,ioperst,bit_offset,6,
missing,rcc,apb2rstr,ioperst,access,read-write,
missing,rcc,apb2rstr,ioperst,bit_width,1,
missing,rcc,apb2rstr,iopfrst,bit_offset,7,
missing,rcc,apb2rstr,iopfrst,access,read-write,
missing,rcc,apb2rstr,iopfrst,bit_width,1,
missing,rcc,apb2rstr,iopgrst,bit_offset,8,
missing,rcc,apb2rstr,iopgrst,access,read-write,
missing,rcc,apb2rstr,iopgrst,bit_width,1,
missing,rcc,apb2rstr,spi1rst,bit_offset,12,
missing,rcc,apb2rstr,spi1rst,access,read-write,
missing,rcc,apb2rstr,spi1rst,bit_width,1,
missing,rcc,apb2rstr,tim15rst,bit_offset,16,
missing,rcc,apb2rstr,tim15rst,access,read-write,
missing,rcc,apb2rstr,tim15rst,bit_width,1,
missing,rcc,apb2rstr,tim16rst,bit_offset,17,
missing,rcc,apb2rstr,tim16rst,access,read-write,
missing,rcc,apb2rstr,tim16rst,bit_width,1,
missing,rcc,apb2rstr,tim17rst,bit_offset,18,
missing,rcc,apb2rstr,tim17rst,access,read-write,
missing,rcc,apb2rstr,tim17rst,bit_width,1,
missing,rcc,apb2rstr,tim1rst,bit_offset,11,
missing,rcc,apb2rstr,tim1rst,access,read-write,
missing,rcc,apb2rstr,tim1rst,bit_width,1,
missing,rcc,apb2rstr,usart1rst,bit_offset,14,
missing,rcc,apb2rstr,usart1rst,access,read-write,
missing,rcc,apb2rstr,usart1rst,bit_width,1,
missing,rcc,apb2rstr,adc1rst,bit_offset,9,
missing,rcc,apb2rstr,adc1rst,access,read-write,
missing,rcc,apb2rstr,adc1rst,bit_width,1,
missing,rcc,cir,,address_offset,0x8,
missing,rcc,cir,,reset_value,0x00000000,
missing,rcc,cir,,size,32,
missing,rcc,cir,cssc,bit_offset,23,
missing,rcc,cir,cssc,access,write-only,
missing,rcc,cir,cssc,bit_width,1,
missing,rcc,cir,cssf,bit_offset,7,
missing,rcc,cir,cssf,access,read-only,
missing,rcc,cir,cssf,bit_width,1,
missing,rcc,cir,hserdyc,bit_offset,19,
missing,rcc,cir,hserdyc,access,write-only,
missing,rcc,cir,hserdyc,bit_width,1,
missing,rcc,cir,hserdyf,bit_offset,3,
missing,rcc,cir,hserdyf,access,read-only,
missing,rcc,cir,hserdyf,bit_width,1,
missing,rcc,cir,hserdyie,bit_offset,11,
missing,rcc,cir,hserdyie,access,read-write,
missing,rcc,cir,hserdyie,bit_width,1,
missing,rcc,cir,hsirdyc,bit_offset,18,
missing,rcc,cir,hsirdyc,access,write-only,
missing,rcc,cir,hsirdyc,bit_width,1,
missing,rcc,cir,hsirdyf,bit_offset,2,
missing,rcc,cir,hsirdyf,access,read-only,
missing,rcc,cir,hsirdyf,bit_width,1,
missing,rcc,cir,hsirdyie,bit_offset,10,
missing,rcc,cir,hsirdyie,access,read-write,
missing,rcc,cir,hsirdyie,bit_width,1,
missing,rcc,cir,lserdyc,bit_offset,17,
missing,rcc,cir,lserdyc,access,write-only,
missing,rcc,cir,lserdyc,bit_width,1,
missing,rcc,cir,lserdyf,bit_offset,1,
missing,rcc,cir,lserdyf,access,read-only,
missing,rcc,cir,lserdyf,bit_width,1,
missing,rcc,cir,lserdyie,bit_offset,9,
missing,rcc,cir,lserdyie,access,read-write,
missing,rcc,cir,lserdyie,bit_width,1,
missing,rcc,cir,lsirdyc,bit_offset,16,
missing,rcc,cir,lsirdyc,access,write-only,
missing,rcc,cir,lsirdyc,bit_width,1,
missing,rcc,cir,lsirdyf,bit_offset,0,
missing,rcc,cir,lsirdyf,access,read-only,
missing,rcc,cir,lsirdyf,bit_width,1,
missing,rcc,cir,lsirdyie,bit_offset,8,
missing,rcc,cir,lsirdyie,access,read-write,
missing,rcc,cir,lsirdyie,bit_width,1,
missing,rcc,cir,pllrdyc,bit_offset,20,
missing,rcc,cir,pllrdyc,access,write-only,
missing,rcc,cir,pllrdyc,bit_width,1,
missing,rcc,cir,pllrdyf,bit_offset,4,
missing,rcc,cir,pllrdyf,access,read-only,
missing,rcc,cir,pllrdyf,bit_width,1,
missing,rcc,cir,pllrdyie,bit_offset,12,
missing,rcc,cir,pllrdyie,access,read-write,
missing,rcc,cir,pllrdyie,bit_width,1,
wrong,rcc,cr,,reset_value,0x83,0x0000XX83
missing,rcc,csr,,address_offset,0x24,
missing,rcc,csr,,reset_value,0x0C000000,
missing,rcc,csr,,size,32,
missing,rcc,csr,iwdgrstf,bit_offset,29,
missing,rcc,csr,iwdgrstf,access,read-write,
missing,rcc,csr,iwdgrstf,bit_width,1,
missing,rcc,csr,lpwrrstf,bit_offset,31,
missing,rcc,csr,lpwrrstf,access,read-write,
missing,rcc,csr,lpwrrstf,bit_width,1,
missing,rcc,csr,lsion,bit_offset,0,
missing,rcc,csr,lsion,access,read-write,
missing,rcc,csr,lsion,bit_width,1,
missing,rcc,csr,lsirdy,bit_offset,1,
missing,rcc,csr,lsirdy,access,read-only,
missing,rcc,csr,lsirdy,bit_width,1,
missing,rcc,csr,rmvf,bit_offset,24,
missing,rcc,csr,rmvf,access,read-write,
missing,rcc,csr,rmvf,bit_width,1,
missing,rcc,csr,sftrstf,bit_offset,28,
missing,rcc,csr,sftrstf,access,read-write,
missing,rcc,csr,sftrstf,bit_width,1,
missing,rcc,csr,wwdgrstf,bit_offset,30,
missing,rcc,csr,wwdgrstf,access,read-write,
missing,rcc,csr,wwdgrstf,bit_width,1,
missing,rcc,csr,pinrstf,bit_offset,26,
missing,rcc,csr,pinrstf,access,read-write,
missing,rcc,csr,pinrstf,bit_width,1,
missing,rcc,csr,porrstf,bit_offset,27,
missing,rcc,csr,porrstf,access,read-write,
missing,rcc,csr,porrstf,bit_width,1,
